shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2023030305797,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023030308554,2046,4141,Bunigeulis,45556,Alak,85231,2,3,REG23,,
TRD2023030308778,45067,34115,Sumur Batu,17148,Tuban,80361,1,2,REG23,,
TRD2023030308863,45067,10595,Sumur Batu,17148,Sukaraja,83581,6,9,REG23,,
TRD2023030404995,88124,9629,A M P L A S,20148,Dalihan Natolu,22747,1,3,REG23,,
TRD2023030405183,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023030405597,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023030406936,45067,22790,Sumur Batu,17148,Konda,98454,5,7,REG23,,
TRD2023030607747,45067,33288,Sumur Batu,17148,Segati,28381,10,1,REG23,,
TRD2023030706674,3047,12337,Padangsambian Klod/Kelod,80117,Jaya Makmur,84383,10,1,REG23,,
TRD2023030907375,45067,4437,Sumur Batu,17148,Kurau Barat,33681,2,3,REG23,,
TRD2023030907825,2046,33288,Bunigeulis,45556,Segati,28381,10,1,REG23,,
