created_at,shipment_order_no,awb_number,status,logistic_id,dispatch_at,delivered_at,in_process_return,return_at
2023-07-03 11:54:58,TRD2023070304210,IDE700810789084,500,24,1688414097,1688656581,0,0
2023-07-03 11:54:58,TRD2023070304386,IDE701963092364,602,24,1688414135,0,0,0
2023-07-03 11:54:58,TRD2023070304241,IDE704037780190,500,24,1688414119,1688620927,0,0
2023-07-03 11:54:58,TRD2023070303989,IDE701310220376,501,24,1688414900,0,0,0
2023-07-03 11:54:58,TRD2023070304303,IDE703861653249,500,24,1688414096,1688613641,0,0
2023-07-03 11:54:58,TRD2023070303964,IDE704188282932,500,24,1688414132,1688626476,0,0
2023-07-03 11:54:58,TRD2023070304183,IDE702282039890,400,24,1688414090,0,0,0
2023-07-03 11:54:58,TRD2023070304258,IDE702838446319,500,24,1688414099,1688546648,0,0
2023-07-03 11:54:58,TRD2023070304058,IDE701407339452,400,24,1688414940,0,0,0
2023-07-03 11:54:58,TRD2023070304074,IDE702909826581,501,24,1688414101,0,0,0
2023-07-03 11:54:58,TRD2023070304179,IDE703968752750,500,24,1688414097,1688625804,0,0
2023-07-03 11:54:58,TRD2023070304382,IDE704125498577,602,24,1688414911,0,0,0
2023-07-03 11:54:58,TRD2023070304001,IDE703272183544,602,24,1688414899,0,0,0
2023-07-03 11:54:58,TRD2023070304055,IDE703145634398,500,24,1688414118,1688635824,0,0
2023-07-03 11:54:58,TRD2023070304106,IDE703733909849,400,24,1688414133,0,0,0
2023-07-03 11:54:58,TRD2023070303902,IDE701713139843,501,24,1688414101,0,0,0
2023-07-03 11:54:58,TRD2023070304066,IDE702933681115,500,24,1688414100,1688642464,0,0
2023-07-03 11:54:58,TRD2023070304378,IDE701112078997,500,24,1688414909,1688554608,0,0
2023-07-03 11:54:58,TRD2023070304199,IDE701316188888,500,24,1688414096,1688621886,0,0
2023-07-03 11:54:58,TRD2023070304361,IDE701275527113,500,24,1688414115,1688611734,0,0
2023-07-03 11:54:58,TRD2023070303945,IDE700864592769,500,24,1688414132,1688647755,0,0
2023-07-03 11:54:58,TRD2023070304163,IDE703366947400,400,24,1688414110,0,0,0
2023-07-03 11:54:58,TRD2023070304030,IDE701578535100,400,24,1688414907,0,0,0
2023-07-03 11:54:58,TRD2023070303948,IDE703094646618,501,24,1688414103,0,0,0
2023-07-03 11:54:58,TRD2023070304430,IDE700569794855,400,24,1688506395,0,0,0
2023-07-03 11:54:58,TRD2023070304248,IDE703349715526,500,24,1688414098,1688632381,0,0
2023-07-03 11:54:58,TRD2023070304308,IDE701245263613,501,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304134,IDE703008062560,501,24,1688414112,0,0,0
2023-07-03 11:54:58,TRD2023070304283,IDE702659423509,500,24,1688414129,1688612778,0,0
2023-07-03 11:54:58,TRD2023070304485,IDE703011311651,400,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070303910,IDE703029231796,501,24,1688414910,0,0,0
2023-07-03 11:54:58,TRD2023070304239,IDE702847646107,602,24,1688414120,0,0,0
2023-07-03 11:54:58,TRD2023070304174,IDE701232158988,501,24,1688414093,0,0,0
2023-07-03 11:54:58,TRD2023070304017,IDE700055362925,501,24,1688414903,0,0,0
2023-07-03 11:54:58,TRD2023070304275,IDE701489249361,400,24,1688414120,0,0,0
2023-07-03 11:54:58,TRD2023070304387,IDE703858031910,501,24,1688414129,0,0,0
2023-07-03 11:54:58,TRD2023070304440,IDE701130198390,500,24,1688414133,1688551448,0,0
2023-07-03 11:54:58,TRD2023070304150,IDE701093123623,500,24,1688414093,1688617850,0,0
2023-07-03 11:54:58,TRD2023070304435,IDE701651306126,500,24,1688414111,1688550106,0,0
2023-07-03 11:54:58,TRD2023070304255,IDE701093027434,500,24,1688414119,1688636957,0,0
2023-07-03 11:54:58,TRD2023070304135,IDE701031341879,500,24,1688414095,1688633404,0,0
2023-07-03 11:54:58,TRD2023070304245,IDE704293310436,602,24,1688506395,0,0,0
2023-07-03 11:54:58,TRD2023070304229,IDE700988587991,500,24,1688414095,1688620976,0,0
2023-07-03 11:54:58,TRD2023070303983,IDE700971768146,501,24,1688414901,0,0,0
2023-07-03 11:54:58,TRD2023070304000,IDE700590391116,500,24,1688414101,1688622437,0,0
2023-07-03 11:54:58,TRD2023070304201,IDE700711697803,501,24,1688414095,0,0,0
2023-07-03 11:54:58,TRD2023070304104,IDE700835707800,501,24,1688414092,0,0,0
2023-07-03 11:54:58,TRD2023070304269,IDE700189034540,500,24,1688414126,1688613468,0,0
2023-07-03 11:54:58,TRD2023070303988,IDE700402570315,501,24,1688414896,0,0,0
2023-07-03 11:54:58,TRD2023070304409,IDE702083347469,400,24,1688414100,0,0,0
2023-07-03 11:54:58,TRD2023070304291,IDE700402836406,500,24,1688414125,1688635442,0,0
2023-07-03 11:54:58,TRD2023070304182,IDE702005358888,400,24,1688414133,0,0,0
2023-07-03 11:54:58,TRD2023070304310,IDE702047835015,400,24,1688414115,0,0,0
2023-07-03 11:54:58,TRD2023070303920,IDE702011913560,400,24,1688414135,0,0,0
2023-07-03 11:54:58,TRD2023070304474,IDE702069324247,501,24,1688414897,0,0,0
2023-07-03 11:54:58,TRD2023070303906,IDE702119797872,501,24,1688414097,0,0,0
2023-07-03 11:54:58,TRD2023070304226,IDE702047545561,500,24,1688414092,1688555094,0,0
2023-07-03 11:54:58,TRD2023070304171,IDE702146303035,500,24,1688414114,1688634274,0,0
2023-07-03 11:54:58,TRD2023070304280,IDE702105818479,400,24,1688414115,0,0,0
2023-07-03 11:54:58,TRD2023070304196,IDE702193215666,501,24,1688506395,0,0,0
2023-07-03 11:54:58,TRD2023070304462,IDE702213836136,500,24,1688414131,1688622679,0,0
2023-07-03 11:54:58,TRD2023070303947,IDE702241850704,501,24,1688415375,0,0,0
2023-07-03 11:54:58,TRD2023070303971,IDE702292186100,500,24,1688414899,1688560199,0,0
2023-07-03 11:54:58,TRD2023070304202,IDE702276846364,400,24,1688414119,0,0,0
2023-07-03 11:54:58,TRD2023070303978,IDE700442543057,500,24,1688414904,1688623888,0,0
2023-07-03 11:54:58,TRD2023070303957,IDE702291633844,500,24,1688414940,1688614767,0,0
2023-07-03 11:54:58,TRD2023070304381,IDE700597379417,501,24,1688414909,0,0,0
2023-07-03 11:54:58,TRD2023070304107,IDE702288923254,501,24,1688414112,0,0,0
2023-07-03 11:54:58,TRD2023070304189,IDE700704153230,500,24,1688414100,1688541017,0,0
2023-07-03 11:54:58,TRD2023070303975,IDE702322618515,400,24,1688415375,0,0,0
2023-07-03 11:54:58,TRD2023070304219,IDE702799992313,501,24,1688414096,0,0,0
2023-07-03 11:54:58,TRD2023070303922,IDE700426201577,400,24,1688414131,0,0,0
