Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
126,21,Sumatera,Aceh,Kabupaten,Bener Meriah,Kabupaten Bener Meriah,4.732755,96.901736,24581,3413666,168690,576721134340,0.00189
127,21,Sumatera,Aceh,Kabupaten,Bireuen,Kabupaten Bireuen,5.16914,96.789803,24261,3413666,443874,1190928629164,0.00389
128,21,Sumatera,Aceh,Kabupaten,Gayo Lues,Kabupaten Gayo Lues,3.986971,97.317543,24653,3413666,103131,352554460246,0.00115
129,21,Sumatera,Aceh,Kota,Langsa,Kota Langsa,4.487456,97.960922,24416,3413666,192630,657930035780,0.00215
130,21,Sumatera,Aceh,Kota,Lhokseumawe,Kota Lhokseumawe,5.186948,97.133471,24352,3413666,191396,653924363536,0.00214
131,21,Sumatera,Aceh,Kabupaten,Nagan Raya,Kabupaten Nagan Raya,4.155772,96.504502,23671,3413666,173393,591927315938,0.00194
132,21,Sumatera,Aceh,Kabupaten,Pidie,Kabupaten Pidie,5.150908,95.980123,24111,3413666,444505,1519785411930,0.00497
133,21,Sumatera,Aceh,Kabupaten,Pidie Jaya,Kabupaten Pidie Jaya,5.224226,96.156036,24184,3413666,162771,555619805586,0.00182
134,21,Sumatera,Aceh,Kota,Sabang,Kota Sabang,5.885638,95.323753,23511,3413666,43208,147429192288,0.00048
135,21,Sumatera,Aceh,Kabupaten,Simeulue,Kabupaten Simeulue,2.602874,96.050869,23891,3413666,94876,324348194216,0.00106
136,21,Sumatera,Aceh,Kota,Subulussalam,Kota Subulussalam,2.645205,97.973209,24782,3413666,95199,324931269134,0.00106
137,26,Sumatera,Riau,Kabupaten,Bengkalis,Kabupaten Bengkalis,1.488894,102.264307,28711,3599029,582973,2096424248117,0.00685
138,26,Sumatera,Riau,Kota,Dumai,Kota Dumai,1.678102,101.449121,28811,3723278,331832,1234679815976,0.00404
139,26,Sumatera,Riau,Kabupaten,Indragiri Hilir,Kabupaten Indragiri Hilir,-0.170646,102.530555,29211,3241141,660747,2139746048827,0.00699
140,26,Sumatera,Riau,Kabupaten,Indragiri Hulu,Kabupaten Indragiri Hulu,0.862682,102.731788,29319,3364511,464076,1560976685436,0.00510
141,26,Sumatera,Riau,Kabupaten,Kampar,Kabupaten Kampar,0.291466,101.143107,28411,3300258,878210,2899775866080,0.00948
142,26,Sumatera,Riau,Kabupaten,Kepulauan Meranti,Kabupaten Kepulauan Meranti,0.936412,102.700215,28755,3224635,213532,688649041820,0.00225
